app_id,sector,review,score
com.fitbit.FitbitMobile,Fitness,"Some systems just stop. Like today, it didn't record my sleep. Not even a little.",3
org.khanacademy.android,Education,I like the app it is good use it 👍🏻🙂,5
com.ixigo.train.ixitrain,Travel,काफी मद्दतगार एप्प है धन्यवाद जय श्रीराम🚩🚩🙏🙏,5
com.ixigo.train.ixitrain,Travel,The IRCTC payment page should come before making payment,3
com.amazon.mShop.android.shopping,Shopping,"shipping via USPS is a joke. never arrives on time. Amazon prices no longer most competitive, check around more. walmart very frequently more competitive and more easily accessible locally.",3
com.netflix.mediaclient,Entertainment,worst customer care service,1
com.ubercab,Transport,driver very nice on time and clean car,5
com.byjus.thelearningapp,Education,"It is not working at all!! I don't know what updates are taking places but no videos are turning on, I tried many times, like I leave some days or months and then try again, but it's not working at all.. videos will be like 00:00-00:00 that means zero minutes and zero seconds..",1
com.goibibo,Travel,"Horrible customer service in recent days. I partially cancelled my flight from Singapore to Delhi on 16 July 2025 via app, screen showed confirmed refund but it never got credited despite reporting the same to customer support multiple times. I was promised a ticket & call back within 24 hours but I received no update till now.",1
com.olacabs.customer,Transport,This helps me in booking my cabs and has multiple rude options we can see the fare of the rides before conforming the ride and we can book our rides in advance for a specific date and time.,5
org.khanacademy.android,Education,I do not wish to connect with a teacher. Don't make me! -delete-,1
com.myntra.android,Shopping,service is very good 👍 👌,4
com.udemy.android,Education,"i would say"" best""! i love it. happy learning.. my instructor is Krista king🌼",4
org.khanacademy.android,Education,This app kind of sucks I am trying to study so I can use the information I saved for later on but I cant find any good information with math all kindergarten is talking about is putting squirrels in a box they dont give any good information on counting.,1
com.truecaller,Utilities,"very nice app, I love it",5
com.byjus.thelearningapp,Education,the app dont let me login in doesnt send otp not even otp be call works takes a lot of time even to start,1
com.truecaller,Utilities,nice but stop asking money for everything and sometimes show spam wrongly,5
com.netflix.mediaclient,Entertainment,"it is absolutely ridiculous that if I'm not connected to the network Netflix shuts down my mobile and laptop and demands a verification code. what happened to ""watch your favourite movies anywhere"" or ""love is sharing a password"" if I don't have internet to receive a verification and I want to watch downloaded movies, how am I supposed to verify that I'm part of the family??",1
com.instagram.android,Social Media,need more likes for my post,5
com.olacabs.customer,Transport,very bad not good aap low fair price ride #olaBoycott,1
com.ubercab,Transport,good but the ride is not available fast in an emergency .,3
net.one97.paytm,Finance & Wallets,it's a very good app to cherish your need to transact online payment .😂😂😂,5
com.fitbit.FitbitMobile,Fitness,"I've had my fitbit Charge 5 for about 2 years and it is going out. I have to charge daily, it's not reading my sleep. ughg",1
com.fitbit.FitbitMobile,Fitness,"As of this update, my pixel watch 3 is unable to sync with the Fitbit app giving an error. tried all things on the link provided to fix it and it hasn't helped. The watch is logging data. However when I open the app on the watch it just crashes after 3 seconds. Reinstall and data clear have not worked. The previous version worked just fine.",1
com.fitbit.FitbitMobile,Fitness,"Until about a week or two ago, I had the Always On display. I find it annoying to have to manually check the time or stats. I have spent hours trying to get Always On to come back. Nothing. Nada. In settings it is a dead link. WHY? No articles help and even give accurate advice in the HELP section. Lead to dead ends. I hate that Google is taking over everything. They have made Fitbit worse. I won't buy another Fitbit if they don't clean up their act. And app.",1
com.google.android.apps.translate,Utilities,This is the best translater in the world.🇮🇳,5
net.one97.paytm,Finance & Wallets,"I support paytm but... bring amazing cashbacks & coupons like gpay & mobikwik... explore zomato, flipkart dominos, swiggy, pizzahut etc. coupons. but we want you to support indian companies primarily.",4
com.byjus.thelearningapp,Education,I can't search anything,2
com.netflix.mediaclient,Entertainment,NETFLIX STEALS MONEY FROM YOU!! They give you the option to pause your subscription for a month. I paused mine and the following day Netflix unpaused it and charged my card. When I spoke to customer service I was told that if I wanted a refund they would be canceling my account entirely,1
com.udemy.android,Education,"Please bring in option which will allow us to download the video for offline use on laptop even if it'll be only in the app like how you can save YouTube video and watch it offline , I think you can do that only on your app but please permit that on your web app to so we can download videos offline on laptops",2
com.udemy.android,Education,"Please fix the newest build, it is not letting me to create a new account also when we try to login through existing account it is not accepting the 6 digit OTP either. Also it's not letting me in through Login with Google.",1
com.axis.mobile,Banking,undescribable...love it...,5
org.khanacademy.android,Education,The best maths app ever I have used,5
com.makemytrip,Travel,"I had a horrible experience. I was visiting from leh Ladakh. I booked a room in property and when I reached there, nobody opened the gate. I tried calling host, but he was unavailable. after 20 mins their kid opened the gate and I went inside. The host told me that they have some water issue in the property so they can't let me stay in their property. They asked me to talk to company for refund. I called make my trip customer care but they didn't reply back. still I have not received my refund",1
com.amazon.mShop.android.shopping,Shopping,"When it's good it's good, but sometimes the delivery service is just bad, yesterday I was suppose to get order between 7 -11 am, now it's running late and don't know when I would get it, does it get lost somehow when it's being processed 45 minutes from my house.",2
org.khanacademy.android,Education,great keep up the good job 👍,5
com.instagram.android,Social Media,they steal data and manipulate your personal account then take you for grand to their own good to make content out of your data.,1
com.instagram.android,Social Media,i want history option on Instagram,1
com.goibibo,Travel,good experience and budget Friendly,5
com.makemytrip,Travel,Excellent cancellation policy.,4
com.facebook.katana,Social Media,"used to use Facebook but not able to reach many people like Tick Tock. 30,000 followers on to accounts. Facebook, you get maybe 1% of that. It is also easy to talk to 7 or more people by video at the same time. Facebook can't. YouTube is also easier to reach people.",1
com.byjus.thelearningapp,Education,Byjus is great app for learning no doubt and long period The criesatale clear concept thanks for byjus is back and apriset you sir 😁😄 some mistakes are let open app in problem I request to byjus team improve this mistake 🙂,5
org.khanacademy.android,Education,"In my device, this app is not opening, please fix this problem.",1
com.google.android.dialer,Utilities,lack of features like 1.No call recording to all numbers unable to find record in storage 2. hard to,1
com.ubercab,Transport,Can't authorise. Always server error.,1
com.google.android.apps.translate,Utilities,stop the TAP TO TRANSLATE in my whatsapp!!,1
com.fitbit.FitbitMobile,Fitness,"update killed connectivity to my fitbit and refuses to let me reconnect, wont even open up bluetooth connection",1
com.makemytrip,Travel,I have good experience,5
